rank,image_id,file_name,split,total_tooth_count,n_duplicate_codes,duplicate_codes,n_missing_codes,missing_codes,n_position_violations,n_wrong_quadrant_both_axes,likely_global_framing,position_violation_detail,anomaly_score,primary_reason,reason_breakdown
1,train_quadrant_enumeration_178,train_506.png,train_quadrant_enumeration,40,8,"31x2, 32x2, 33x2, 34x2, 35x2, 36x2, 37x2, 41x2",0,-,0,0,False,-,40.0,duplicate_codes,"duplicate_codes(+24.0), overcount(+16.0)"
2,train_quadrant_enumeration_344,train_507.png,train_quadrant_enumeration,30,7,"11x2, 12x2, 13x2, 14x2, 15x2, 16x2, 17x2",9,"24, 41, 42, 43, 44, 45, 46, 47, 48",8,0,True,"11: expected image-upper (y<=0.55), got y=0.658; 12: expected image-upper (y<=0.55), got y=0.677; 13: expected image-upper (y<=0.55), got y=0.674; 14: expected image-upper (y<=0.55), got y=0.675; 15: expected image-upper (y<=0.55), got y=0.674; 16: expected image-upper (y<=0.55), got y=0.672; 17: expected image-upper (y<=0.55), got y=0.660; 18: expected image-upper (y<=0.55), got y=0.631",37.45,duplicate_codes,"duplicate_codes(+21.0), single_axis_position(+16.0), missing_codes(+0.45)"
3,train_quadrant_enumeration_279,train_265.png,train_quadrant_enumeration,31,0,-,1,48,16,0,True,"11: expected image-upper (y<=0.55), got y=0.581; 12: expected image-upper (y<=0.55), got y=0.563; 13: expected image-upper (y<=0.55), got y=0.572; 14: expected image-upper (y<=0.55), got y=0.580; 15: expected image-upper (y<=0.55), got y=0.581; 16: expected image-upper (y<=0.55), got y=0.592; 17: expected image-upper (y<=0.55), got y=0.598; 18: expected image-upper (y<=0.55), got y=0.598; 21: expected image-upper (y<=0.55), got y=0.574; 22: expected image-upper (y<=0.55), got y=0.561; 23: expected image-upper (y<=0.55), got y=0.571; 24: expected image-upper (y<=0.55), got y=0.560; 25: expected image-upper (y<=0.55), got y=0.569; 26: expected image-upper (y<=0.55), got y=0.573; 27: expected image-upper (y<=0.55), got y=0.580; 28: expected image-upper (y<=0.55), got y=0.570",32.05,single_axis_position,"single_axis_position(+32.0), missing_codes(+0.05)"
4,train_quadrant_enumeration_117,train_502.png,train_quadrant_enumeration,29,0,-,3,"18, 26, 38",13,0,True,"11: expected image-upper (y<=0.55), got y=0.604; 12: expected image-upper (y<=0.55), got y=0.597; 13: expected image-upper (y<=0.55), got y=0.596; 14: expected image-upper (y<=0.55), got y=0.586; 15: expected image-upper (y<=0.55), got y=0.581; 16: expected image-upper (y<=0.55), got y=0.564; 17: expected image-upper (y<=0.55), got y=0.553; 21: expected image-upper (y<=0.55), got y=0.601; 22: expected image-upper (y<=0.55), got y=0.606; 23: expected image-upper (y<=0.55), got y=0.592; 24: expected image-upper (y<=0.55), got y=0.586; 25: expected image-upper (y<=0.55), got y=0.568; 27: expected image-upper (y<=0.55), got y=0.560",26.15,single_axis_position,"single_axis_position(+26.0), missing_codes(+0.15)"
5,train_quadrant_enumeration_471,train_628.png,train_quadrant_enumeration,32,4,"22x2, 23x2, 24x2, 25x2",4,"32, 33, 34, 35",4,0,True,"22: expected image-upper (y<=0.55), got y=0.645; 23: expected image-upper (y<=0.55), got y=0.659; 24: expected image-upper (y<=0.55), got y=0.668; 25: expected image-upper (y<=0.55), got y=0.692",20.2,duplicate_codes,"duplicate_codes(+12.0), single_axis_position(+8.0), missing_codes(+0.20)"
6,train_quadrant_enumeration_582,train_258.png,train_quadrant_enumeration,24,2,"14x2, 15x2",10,"25, 26, 28, 34, 35, 36, 37, 38, 46, 47",3,2,False,"14: WRONG QUADRANT (both axes) - expected image-left (x<=0.55), got x=0.580; expected image-upper (y<=0.55), got y=0.661; 15: WRONG QUADRANT (both axes) - expected image-left (x<=0.55), got x=0.606; expected image-upper (y<=0.55), got y=0.645; 18: expected image-left (x<=0.55), got x=0.719",18.5,wrong_quadrant,"duplicate_codes(+6.0), wrong_quadrant(+10.0), single_axis_position(+2.0), missing_codes(+0.50)"
7,train_quadrant_enumeration_335,train_150.png,train_quadrant_enumeration,28,4,"44x2, 45x2, 46x2, 47x2",8,"14, 15, 16, 17, 18, 28, 38, 48",3,0,True,"45: expected image-lower (y>=0.45), got y=0.439; 46: expected image-lower (y>=0.45), got y=0.428; 47: expected image-lower (y>=0.45), got y=0.418",18.4,duplicate_codes,"duplicate_codes(+12.0), single_axis_position(+6.0), missing_codes(+0.40)"
8,train_quadrant_enumeration_disease_521,train_572.png,train_quadrant_enumeration_disease,5,1,46x3,29,"11, 12, 13, 14, 15, 16, 18, 21, 22, 23, 24, 25, 26, 27, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 47, 48",0,0,False,-,12.45,duplicate_codes,"duplicate_codes(+6.0), missing_codes(+1.45), sparse_annotation(+5.0)"
9,train_quadrant_enumeration_disease_303,train_145.png,train_quadrant_enumeration_disease,15,1,33x2,18,"11, 12, 18, 21, 22, 23, 28, 32, 34, 37, 38, 42, 43, 44, 45, 46, 47, 48",4,0,True,"14: expected image-upper (y<=0.55), got y=0.554; 16: expected image-upper (y<=0.55), got y=0.565; 17: expected image-upper (y<=0.55), got y=0.562; 27: expected image-upper (y<=0.55), got y=0.568",11.9,single_axis_position,"duplicate_codes(+3.0), single_axis_position(+8.0), missing_codes(+0.90)"
10,train_quadrant_enumeration_disease_37,train_440.png,train_quadrant_enumeration_disease,3,1,47x2,30,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 48",1,0,False,"47: expected image-left (x<=0.55), got x=0.703",11.5,sparse_annotation,"duplicate_codes(+3.0), single_axis_position(+2.0), missing_codes(+1.50), sparse_annotation(+5.0)"
11,train_quadrant_enumeration_disease_105,train_534.png,train_quadrant_enumeration_disease,6,1,46x2,27,"12, 13, 14, 16, 17, 18, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 41, 42, 43, 44, 45, 47, 48",1,0,False,"15: expected image-upper (y<=0.55), got y=0.558",11.35,sparse_annotation,"duplicate_codes(+3.0), single_axis_position(+2.0), missing_codes(+1.35), sparse_annotation(+5.0)"
12,train_quadrant_enumeration_disease_352,train_622.png,train_quadrant_enumeration_disease,3,0,-,29,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 27, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47",2,0,False,"26: expected image-upper (y<=0.55), got y=0.600; 28: expected image-upper (y<=0.55), got y=0.561",10.45,sparse_annotation,"single_axis_position(+4.0), missing_codes(+1.45), sparse_annotation(+5.0)"
13,train_quadrant_enumeration_disease_472,train_132.png,train_quadrant_enumeration_disease,6,0,-,26,"11, 12, 13, 14, 15, 16, 17, 21, 22, 23, 24, 25, 26, 27, 31, 32, 33, 34, 35, 37, 41, 42, 44, 45, 46, 47",2,0,False,"48: expected image-lower (y>=0.45), got y=0.426; 38: expected image-lower (y>=0.45), got y=0.425",10.3,sparse_annotation,"single_axis_position(+4.0), missing_codes(+1.30), sparse_annotation(+5.0)"
14,train_quadrant_enumeration_442,train_89.png,train_quadrant_enumeration,31,0,-,1,38,5,0,True,"42: expected image-lower (y>=0.45), got y=0.444; 41: expected image-lower (y>=0.45), got y=0.428; 31: expected image-lower (y>=0.45), got y=0.423; 32: expected image-lower (y>=0.45), got y=0.441; 34: expected image-lower (y>=0.45), got y=0.447",10.05,single_axis_position,"single_axis_position(+10.0), missing_codes(+0.05)"
15,train_quadrant_enumeration_106,train_466.png,train_quadrant_enumeration,34,2,"16x2, 17x2",0,-,0,0,False,-,10.0,duplicate_codes,"duplicate_codes(+6.0), overcount(+4.0)"
16,train_quadrant_enumeration_disease_245,train_343.png,train_quadrant_enumeration_disease,15,3,"38x2, 46x2, 48x2",20,"11, 12, 13, 14, 17, 21, 22, 23, 24, 27, 31, 32, 33, 34, 36, 41, 42, 43, 44, 45",0,0,False,-,10.0,duplicate_codes,"duplicate_codes(+9.0), missing_codes(+1.00)"
17,train_quadrant_enumeration_disease_420,train_67.png,train_quadrant_enumeration_disease,16,3,"47x2, 46x2, 45x2",19,"11, 12, 13, 14, 15, 16, 17, 21, 22, 23, 24, 25, 31, 32, 33, 41, 42, 44, 48",0,0,False,-,9.95,duplicate_codes,"duplicate_codes(+9.0), missing_codes(+0.95)"
