classifier,top1_acc,quadrant_acc,tooth_type_acc,majority_baseline_acc,mirror_quadrant_error_frac,neighbor_error_frac,n_test,seed
logistic_regression,0.2676056338028169,0.4346076458752515,0.47283702213279677,0.08048289738430583,0.10989010989010989,0.15384615384615385,497,0
logistic_regression,0.2948207171314741,0.4820717131474104,0.46613545816733065,0.08366533864541832,0.11864406779661017,0.18926553672316385,502,1
logistic_regression,0.20153550863723607,0.3800383877159309,0.3781190019193858,0.06333973128598848,0.08173076923076923,0.1658653846153846,521,2
logistic_regression,0.2464065708418891,0.4537987679671458,0.40451745379876797,0.07186858316221766,0.09536784741144415,0.20708446866485014,487,3
logistic_regression,0.25100401606425704,0.43172690763052207,0.41365461847389556,0.08032128514056225,0.1126005361930295,0.1769436997319035,498,4
gradient_boosted_tree,0.2535211267605634,0.44668008048289737,0.43259557344064387,0.08048289738430583,0.1105121293800539,0.18867924528301888,497,0
gradient_boosted_tree,0.28286852589641437,0.4800796812749004,0.46215139442231074,0.08366533864541832,0.1,0.2111111111111111,502,1
gradient_boosted_tree,0.23224568138195778,0.42994241842610365,0.42802303262955854,0.06333973128598848,0.09,0.195,521,2
gradient_boosted_tree,0.2813141683778234,0.46611909650924027,0.459958932238193,0.07186858316221766,0.11428571428571428,0.18571428571428572,487,3
gradient_boosted_tree,0.2791164658634538,0.4538152610441767,0.4678714859437751,0.08032128514056225,0.09749303621169916,0.1894150417827298,498,4
