classifier,teeth_count_bin,accuracy_mean,accuracy_ci95,n_instances_pooled
logistic_regression,1-15,0.4323347796689312,0.11593013765914612,653
logistic_regression,16-23,0.5437672420837051,0.049613494806714495,2550
logistic_regression,24-28,0.6357836202116783,0.04064250858368625,5151
logistic_regression,29-32,0.7032834769354583,0.004328133873145002,18843
logistic_regression,33+,0.695424836601307,0.03228333595708628,372
gradient_boosted_tree,1-15,0.4897598416490898,0.0888874011872678,653
gradient_boosted_tree,16-23,0.5729395209527574,0.06751162831363712,2550
gradient_boosted_tree,24-28,0.6590964436910296,0.02549646319747464,5151
gradient_boosted_tree,29-32,0.728340451009829,0.012818459564215364,18843
gradient_boosted_tree,33+,0.6108932461873638,0.03361546796080459,372
