top1_acc,quadrant_acc,tooth_type_acc,majority_baseline_acc,mirror_quadrant_error_frac,neighbor_error_frac,n_test,seed,condition,classifier
0.6129625373477362,0.9811537577568376,0.6272121351413468,0.03792231670880258,0.032660332541567694,0.831353919239905,4351,0,full (real),logistic_regression
0.6963916341071018,0.9802344288669271,0.7122500574580556,0.03792231670880258,0.04239212717638153,0.8576835730507192,4351,0,full (real),gradient_boosted_tree
0.03562399448402666,0.2636175591817973,0.14663295794070327,0.03792231670880258,0.0388465204957102,0.07840800762631077,4351,0,full (shuffled per image),logistic_regression
0.036773155596414614,0.2555734313950816,0.12962537347736153,0.03792231670880258,0.03054163684084944,0.06466237174898593,4351,0,full (shuffled per image),gradient_boosted_tree
0.6483566996092852,0.9747184555274649,0.666513445185015,0.03792231670880258,0.03725490196078431,0.8764705882352941,4351,0,"position only (x,y)",logistic_regression
0.6233049873592278,0.9715008044127786,0.6423810618248679,0.03792231670880258,0.03294691885295912,0.8431970713849909,4351,0,"position only (x,y)",gradient_boosted_tree
0.13743966904159963,0.31555964146173293,0.3486554814985061,0.03792231670880258,0.14148681055155876,0.12816413535837995,4351,0,"size only (w,h)",logistic_regression
0.13698000459664444,0.34497816593886466,0.33647437370719374,0.03792231670880258,0.13049267643142476,0.14327563249001332,4351,0,"size only (w,h)",gradient_boosted_tree
0.6309226932668329,0.9793697574246203,0.6476989344819769,0.037633189752890504,0.041154791154791155,0.8230958230958231,4411,1,full (real),logistic_regression
0.6896395375198368,0.979596463386987,0.7066424846973476,0.037633189752890504,0.04601899196493791,0.8400292184075968,4411,1,full (real),gradient_boosted_tree
0.04216730900022671,0.27091362502833827,0.14667875765132624,0.037633189752890504,0.04,0.07100591715976332,4411,1,full (shuffled per image),logistic_regression
0.03445930627975516,0.24461573339378825,0.13897075493085467,0.037633189752890504,0.03357595679737028,0.055177271660014085,4411,1,full (shuffled per image),gradient_boosted_tree
0.6520063477669463,0.9757424620267513,0.6696894128315575,0.037633189752890504,0.040390879478827364,0.8755700325732899,4411,1,"position only (x,y)",logistic_regression
0.6195873951484924,0.9698481070052143,0.6408977556109726,0.037633189752890504,0.04410011918951132,0.8456495828367103,4411,1,"position only (x,y)",gradient_boosted_tree
0.15053275901156202,0.3332577646792111,0.36839718884606665,0.037633189752890504,0.1486522551374433,0.14464905257539365,4411,1,"size only (w,h)",logistic_regression
0.13874404896848788,0.33665835411471323,0.3389254137383813,0.037633189752890504,0.13740458015267176,0.14161621479336667,4411,1,"size only (w,h)",gradient_boosted_tree
0.6139611150152261,0.9819629889903959,0.6280159287889435,0.036542515811665496,0.03216019417475728,0.8100728155339806,4269,2,full (real),logistic_regression
0.6858749121574139,0.98126024830171,0.7003982197235886,0.036542515811665496,0.040268456375838924,0.8381804623415362,4269,2,full (real),gradient_boosted_tree
0.04356992269852424,0.2728976341063481,0.16069337081283672,0.036542515811665496,0.04286064168503551,0.07274063188831742,4269,2,full (shuffled per image),logistic_regression
0.03935347856640899,0.26024830171000235,0.14078238463340362,0.036542515811665496,0.03462570104852475,0.06120458424774445,4269,2,full (shuffled per image),gradient_boosted_tree
0.6331693605059733,0.9754040758959944,0.6507378777231202,0.036542515811665496,0.0351213282247765,0.8588761174968071,4269,2,"position only (x,y)",logistic_regression
0.623330990864371,0.9735301007261654,0.6418364956664324,0.036542515811665496,0.034203980099502485,0.8327114427860697,4269,2,"position only (x,y)",gradient_boosted_tree
0.14148512532208948,0.32958538299367535,0.35441555399390956,0.036542515811665496,0.14870395634379263,0.14106412005457025,4269,2,"size only (w,h)",logistic_regression
0.13469196533145936,0.33614429608807683,0.34246896228624973,0.036542515811665496,0.13833243096913914,0.14076881429344884,4269,2,"size only (w,h)",gradient_boosted_tree
0.5904783393501805,0.9808212996389891,0.6037906137184116,0.03835740072202166,0.02975206611570248,0.8066115702479338,4432,3,full (real),logistic_regression
0.6696750902527075,0.9794675090252708,0.6847924187725631,0.03835740072202166,0.040983606557377046,0.8469945355191257,4432,3,full (real),gradient_boosted_tree
0.04174187725631769,0.25767148014440433,0.15297833935018051,0.03835740072202166,0.03790911231457499,0.06357428773251707,4432,3,full (shuffled per image),logistic_regression
0.037680505415162456,0.24526173285198555,0.1430505415162455,0.03835740072202166,0.03774912075029308,0.05885111371629543,4432,3,full (shuffled per image),gradient_boosted_tree
0.6247743682310469,0.9756317689530686,0.6428249097472925,0.03835740072202166,0.03668069753457607,0.8761274804570054,4432,3,"position only (x,y)",logistic_regression
0.6139440433212996,0.9774368231046932,0.6290613718411552,0.03835740072202166,0.02863822326125073,0.8597311513734658,4432,3,"position only (x,y)",gradient_boosted_tree
0.13357400722021662,0.3210740072202166,0.34724729241877256,0.03835740072202166,0.14348958333333334,0.13776041666666666,4432,3,"size only (w,h)",logistic_regression
0.125,0.3282942238267148,0.3267148014440433,0.03835740072202166,0.129706034038164,0.13125322331098505,4432,3,"size only (w,h)",gradient_boosted_tree
0.6161879895561357,0.9828111401218451,0.6290252393385553,0.03698868581375109,0.031179138321995464,0.822562358276644,4596,4,full (real),logistic_regression
0.6816797214969539,0.9773716275021758,0.7008268059181897,0.03698868581375109,0.04921394395078606,0.8284347231715653,4596,4,full (real),gradient_boosted_tree
0.038076588337684944,0.25718015665796345,0.1459965187119234,0.03698868581375109,0.04161954308979869,0.07486993892784438,4596,4,full (shuffled per image),logistic_regression
0.034377719756309835,0.2545691906005222,0.13511749347258487,0.03698868581375109,0.03717890941865705,0.06466876971608833,4596,4,full (shuffled per image),gradient_boosted_tree
0.6127067014795474,0.9758485639686684,0.6303307223672759,0.03698868581375109,0.0348314606741573,0.8696629213483146,4596,4,"position only (x,y)",logistic_regression
0.6066144473455178,0.9684508268059182,0.6298955613577023,0.03698868581375109,0.043694690265486724,0.8351769911504425,4596,4,"position only (x,y)",gradient_boosted_tree
0.14947780678851175,0.3278938207136641,0.36488250652741516,0.03698868581375109,0.14760808390892813,0.1350729086722947,4596,4,"size only (w,h)",logistic_regression
0.1325065274151436,0.3468233246301131,0.32854656222802436,0.03698868581375109,0.126912465512917,0.15550539252570855,4596,4,"size only (w,h)",gradient_boosted_tree
