image_id,n_excluded,loio_estimate_pp,shift_from_full_pp
train_quadrant_enumeration_disease_8,22,-6.723804401774625,-0.6553218346813994
train_quadrant_enumeration_disease_516,18,-6.602970225016258,-0.5344876579230329
train_quadrant_enumeration_disease_245,15,-6.512841755008603,-0.4443591879153779
validation_triple_31,22,-6.487397782389282,-0.4189152152960567
train_quadrant_enumeration_582,48,-6.482326039415076,-0.4138434723218509
train_quadrant_enumeration_disease_23,18,-6.445861034128598,-0.37737846703537237
train_quadrant_enumeration_420,52,-6.4442759938654,-0.37579342677217475
train_quadrant_enumeration_disease_404,11,-6.393327648425529,-0.3248450813323034
train_quadrant_enumeration_disease_325,16,-6.385974707249065,-0.3174921401558395
train_quadrant_enumeration_490,31,-6.363565743663624,-0.2950831765703992
train_quadrant_enumeration_disease_246,15,-6.356101943096382,-0.2876193760031569
train_quadrant_enumeration_disease_481,9,-6.333850269330366,-0.2653677022371408
train_quadrant_enumeration_557,29,-6.303192941610947,-0.23471037451772148
train_quadrant_enumeration_disease_39,18,-6.2887518432409255,-0.2202692761477003
train_quadrant_enumeration_disease_403,10,-6.285501731173381,-0.2170191640801562
train_quadrant_enumeration_disease_439,10,-6.285501731173381,-0.2170191640801562
train_quadrant_enumeration_disease_144,9,-6.255847149205563,-0.18736458211233753
train_quadrant_enumeration_disease_288,9,-6.255847149205563,-0.18736458211233753
train_quadrant_enumeration_disease_552,6,-6.244981344923584,-0.17649877783035883
train_quadrant_enumeration_178,40,-6.237951948985088,-0.16946938189186245
train_quadrant_enumeration_disease_463,8,-6.226238794177674,-0.15775622708444903
train_quadrant_enumeration_disease_97,8,-6.226238794177674,-0.15775622708444903
train_quadrant_enumeration_151,50,-6.22159114560522,-0.15310857851199522
train_quadrant_enumeration_disease_532,12,-6.188577843890741,-0.12009527679751564
train_quadrant_enumeration_disease_548,4,-6.1859655660634445,-0.1174829989702193
validation_triple_15,4,-6.1859655660634445,-0.1174829989702193
validation_triple_16,9,-6.1778440290807595,-0.10936146198753427
train_quadrant_enumeration_disease_394,6,-6.167160333250433,-0.09867776615720736
validation_triple_24,3,-6.156526406189511,-0.08804383909628566
train_quadrant_enumeration_disease_521,5,-6.137690012344665,-0.06920744525143974
train_quadrant_enumeration_disease_610,5,-6.137690012344665,-0.06920744525143974
validation_triple_33,5,-6.137690012344665,-0.06920744525143974
train_quadrant_enumeration_disease_75,10,-6.129373706192897,-0.06089113909967203
train_quadrant_enumeration_disease_239,10,-6.129373706192897,-0.06089113909967203
train_quadrant_enumeration_disease_187,2,-6.127132923832823,-0.05865035673959795
train_quadrant_enumeration_149,54,-6.101795716331759,-0.03331314923853412
train_quadrant_enumeration_disease_359,9,-6.099840908955956,-0.03135834186273101
train_quadrant_enumeration_disease_531,9,-6.099840908955956,-0.03135834186273101
train_quadrant_enumeration_disease_447,6,-6.089339321577281,-0.020856754484055884
train_quadrant_enumeration_disease_37,6,-6.089339321577281,-0.020856754484055884
train_quadrant_enumeration_disease_556,11,-6.080827648425535,-0.012345081332309604
train_quadrant_enumeration_disease_688,3,-6.078886654636706,-0.01040408754348121
train_quadrant_enumeration_disease_174,3,-6.078886654636706,-0.01040408754348121
train_quadrant_enumeration_disease_256,16,-6.072249217052983,-0.0037666499597577285
train_quadrant_enumeration_disease_661,8,-6.0703541488152375,-0.0018715817220122943
train_quadrant_enumeration_disease_290,7,-6.040913318207464,0.02756924888576151
train_quadrant_enumeration_disease_543,4,-6.030565410663291,0.037917156429934096
train_quadrant_enumeration_disease_645,6,-6.01151830990413,0.05696425718909559
train_quadrant_enumeration_disease_26,8,-5.992411826134026,0.07607074095919941
train_quadrant_enumeration_381,29,-5.9862357308344105,0.08224683625881468
train_quadrant_enumeration_disease_155,10,-5.973245681212413,0.09523688588081214
validation_triple_36,2,-5.97197388581886,0.09650868127436496
train_quadrant_enumeration_disease_512,2,-5.97197388581886,0.09650868127436496
train_quadrant_enumeration_226,31,-5.966740346838229,0.10174222025499624
train_quadrant_enumeration_disease_58,15,-5.964252413315818,0.10423015377740708
train_quadrant_enumeration_disease_306,15,-5.964252413315818,0.10423015377740708
train_quadrant_enumeration_disease_117,12,-5.9540195952589965,0.11446297183422871
train_quadrant_enumeration_disease_254,12,-5.9540195952589965,0.11446297183422871
train_quadrant_enumeration_disease_399,9,-5.943834668706338,0.12464789838688706
train_quadrant_enumeration_disease_303,45,-5.828520264797921,0.23996230229530457
train_quadrant_enumeration_261,50,-5.818690259223269,0.24979230786995643
train_quadrant_enumeration_disease_182,8,-5.7585848580903765,0.30989770900284874
train_quadrant_enumeration_disease_63,12,-5.719461346627252,0.34902122046597306
train_quadrant_enumeration_disease_420,16,-5.680092354307886,0.3883902127853389
train_quadrant_enumeration_530,75,-5.43938028000448,0.6291022870887453
train_quadrant_enumeration_disease_536,28,-5.322959477404154,0.7455230896890708
train_quadrant_enumeration_510,50,-5.254629018288548,0.8138535488046772
train_quadrant_enumeration_279,31,-5.173089553187438,0.8953930139057871
train_quadrant_enumeration_318,62,-4.964828868930004,1.103653698163221
train_quadrant_enumeration_199,78,-4.871790138120502,1.1966924289727228
