image_id,n_instances,acc,teeth_count_full_image
validation_triple_36,2,0.0,2
train_quadrant_enumeration_disease_512,2,0.0,1
train_quadrant_enumeration_disease_182,8,0.125,8
train_quadrant_enumeration_disease_63,12,0.25,6
train_quadrant_enumeration_279,31,0.25806451612903225,31
train_quadrant_enumeration_disease_536,28,0.2857142857142857,14
train_quadrant_enumeration_disease_420,16,0.3125,16
train_quadrant_enumeration_318,62,0.4032258064516129,31
train_quadrant_enumeration_510,50,0.42,25
train_quadrant_enumeration_199,78,0.4358974358974359,26
train_quadrant_enumeration_disease_399,9,0.4444444444444444,9
train_quadrant_enumeration_disease_26,8,0.5,8
train_quadrant_enumeration_disease_155,10,0.5,5
train_quadrant_enumeration_disease_117,12,0.5,6
train_quadrant_enumeration_disease_543,4,0.5,4
train_quadrant_enumeration_disease_645,6,0.5,6
train_quadrant_enumeration_disease_254,12,0.5,6
train_quadrant_enumeration_530,75,0.52,25
train_quadrant_enumeration_disease_58,15,0.5333333333333333,15
train_quadrant_enumeration_disease_306,15,0.5333333333333333,15
train_quadrant_enumeration_disease_303,45,0.5555555555555556,15
train_quadrant_enumeration_261,50,0.56,25
train_quadrant_enumeration_disease_290,7,0.5714285714285714,7
train_quadrant_enumeration_226,31,0.5806451612903226,31
train_quadrant_enumeration_381,29,0.5862068965517241,29
train_quadrant_enumeration_disease_661,8,0.625,8
train_quadrant_enumeration_disease_256,16,0.625,8
train_quadrant_enumeration_149,54,0.6296296296296297,27
train_quadrant_enumeration_disease_556,11,0.6363636363636364,11
train_quadrant_enumeration_151,50,0.66,25
train_quadrant_enumeration_disease_531,9,0.6666666666666666,9
train_quadrant_enumeration_disease_688,3,0.6666666666666666,3
train_quadrant_enumeration_disease_447,6,0.6666666666666666,3
train_quadrant_enumeration_disease_174,3,0.6666666666666666,3
train_quadrant_enumeration_disease_37,6,0.6666666666666666,3
train_quadrant_enumeration_disease_359,9,0.6666666666666666,9
train_quadrant_enumeration_178,40,0.675,40
train_quadrant_enumeration_disease_239,10,0.7,10
train_quadrant_enumeration_disease_75,10,0.7,10
train_quadrant_enumeration_420,52,0.7115384615384616,26
train_quadrant_enumeration_557,29,0.7241379310344828,29
train_quadrant_enumeration_582,48,0.7291666666666666,24
train_quadrant_enumeration_490,31,0.7419354838709677,31
train_quadrant_enumeration_disease_532,12,0.75,6
validation_triple_16,9,0.7777777777777778,9
train_quadrant_enumeration_disease_39,18,0.7777777777777778,9
train_quadrant_enumeration_disease_610,5,0.8,5
train_quadrant_enumeration_disease_521,5,0.8,5
validation_triple_33,5,0.8,5
train_quadrant_enumeration_disease_394,6,0.8333333333333334,6
validation_triple_31,22,0.8636363636363636,11
train_quadrant_enumeration_disease_246,15,0.8666666666666667,15
train_quadrant_enumeration_disease_463,8,0.875,8
train_quadrant_enumeration_disease_97,8,0.875,8
train_quadrant_enumeration_disease_325,16,0.875,8
train_quadrant_enumeration_disease_288,9,0.8888888888888888,9
train_quadrant_enumeration_disease_144,9,0.8888888888888888,9
train_quadrant_enumeration_disease_23,18,0.8888888888888888,9
train_quadrant_enumeration_disease_439,10,0.9,10
train_quadrant_enumeration_disease_403,10,0.9,10
train_quadrant_enumeration_disease_552,6,1.0,6
train_quadrant_enumeration_disease_516,18,1.0,6
train_quadrant_enumeration_disease_481,9,1.0,9
train_quadrant_enumeration_disease_245,15,1.0,15
train_quadrant_enumeration_disease_8,22,1.0,11
train_quadrant_enumeration_disease_404,11,1.0,11
validation_triple_15,4,1.0,2
validation_triple_24,3,1.0,3
train_quadrant_enumeration_disease_187,2,1.0,2
train_quadrant_enumeration_disease_548,4,1.0,4
