image_id,split
cate1-00002,train
cate1-00005,train
cate1-00008,train
cate1-00011,train
cate1-00014,train
cate1-00017,train
cate1-00023,train
cate1-00026,train
cate1-00035,train
cate1-00038,train
cate1-00041,train
cate1-00044,train
cate1-00050,train
cate1-00053,train
cate1-00056,train
cate1-00059,train
cate1-00062,train
cate1-00065,train
cate1-00068,train
cate1-00071,train
cate10-00006,train
cate10-00012,train
cate10-00013,train
cate10-00018,train
cate10-00020,train
cate10-00027,train
cate10-00030,train
cate10-00034,train
cate10-00041,train
cate10-00042,train
cate10-00048,train
cate10-00049,train
cate10-00063,train
cate10-00066,train
cate10-00070,train
cate10-00072,train
cate10-00078,train
cate10-00085,train
cate10-00092,train
cate10-00096,train
cate10-00099,train
cate10-00106,train
cate10-00114,train
cate2-00001,train
cate2-00003,train
cate2-00004,train
cate2-00005,train
cate2-00006,train
cate2-00007,train
cate2-00008,train
cate2-00009,train
cate2-00010,train
cate2-00011,train
cate2-00012,train
cate2-00013,train
cate2-00014,train
cate2-00015,train
cate2-00016,train
cate2-00017,train
cate2-00019,train
cate2-00021,train
cate2-00022,train
cate2-00024,train
cate2-00025,train
cate2-00026,train
cate2-00027,train
cate2-00029,train
cate2-00030,train
cate2-00031,train
cate2-00032,train
cate2-00033,train
cate2-00035,train
cate2-00036,train
cate2-00037,train
cate2-00038,train
cate2-00039,train
cate2-00040,train
cate2-00101,train
cate2-00102,train
cate2-00103,train
cate2-00104,train
cate2-00105,train
cate2-00106,train
cate2-00108,train
cate2-00109,train
cate2-00110,train
cate2-00112,train
cate2-00114,train
cate2-00116,train
cate2-00117,train
cate2-00118,train
cate2-00119,train
cate2-00122,train
cate2-00123,train
cate2-00124,train
cate2-00126,train
cate2-00127,train
cate2-00130,train
cate2-00133,train
cate2-00134,train
cate2-00136,train
cate3-00003,train
cate3-00006,train
cate3-00007,train
cate3-00008,train
cate3-00013,train
cate3-00014,train
cate3-00016,train
cate3-00018,train
cate3-00019,train
cate3-00020,train
cate3-00021,train
cate3-00023,train
cate3-00026,train
cate3-00027,train
cate4-00069,train
cate4-00070,train
cate4-00072,train
cate4-00075,train
cate4-00077,train
cate4-00082,train
cate4-00085,train
cate4-00086,train
cate4-00088,train
cate4-00089,train
cate4-00091,train
cate4-00094,train
cate4-00095,train
cate4-00099,train
cate4-00100,train
cate4-00102,train
cate4-00103,train
cate4-00104,train
cate4-00105,train
cate4-00106,train
cate4-00107,train
cate4-00111,train
cate4-00112,train
cate4-00114,train
cate5-00001,train
cate5-00006,train
cate5-00012,train
cate5-00018,train
cate5-00019,train
cate5-00024,train
cate5-00025,train
cate5-00031,train
cate5-00036,train
cate5-00037,train
cate5-00042,train
cate5-00043,train
cate5-00048,train
cate5-00049,train
cate5-00061,train
cate5-00066,train
cate5-00067,train
cate5-00072,train
cate5-00073,train
cate5-00078,train
cate5-00079,train
cate5-00084,train
cate5-00085,train
cate5-00090,train
cate5-00091,train
cate5-00096,train
cate5-00102,train
cate5-00103,train
cate5-00108,train
cate5-00109,train
cate6-00003,train
cate6-00009,train
cate6-00014,train
cate6-00021,train
cate6-00022,train
cate6-00027,train
cate6-00036,train
cate6-00039,train
cate6-00051,train
cate6-00063,train
cate6-00065,train
cate6-00075,train
cate6-00086,train
cate6-00087,train
cate6-00093,train
cate6-00099,train
cate6-00101,train
cate6-00105,train
cate6-00108,train
cate6-00115,train
cate6-00123,train
cate6-00141,train
cate6-00144,train
cate6-00147,train
cate6-00153,train
cate6-00159,train
cate7-00011,train
cate7-00014,train
cate7-00025,train
cate7-00026,train
cate7-00032,train
cate7-00033,train
cate7-00038,train
cate7-00044,train
cate7-00047,train
cate7-00050,train
cate7-00054,train
cate7-00056,train
cate7-00061,train
cate7-00062,train
cate7-00068,train
cate7-00074,train
cate7-00076,train
cate7-00083,train
cate7-00086,train
cate7-00090,train
cate7-00098,train
cate7-00104,train
cate7-00105,train
cate7-00110,train
cate8-00001,train
cate8-00005,train
cate8-00008,train
cate8-00011,train
cate8-00015,train
cate8-00017,train
cate8-00022,train
cate8-00029,train
cate8-00030,train
cate8-00037,train
cate8-00041,train
cate8-00044,train
cate8-00047,train
cate8-00051,train
cate8-00053,train
cate8-00058,train
cate8-00059,train
cate8-00065,train
cate8-00066,train
cate8-00071,train
cate8-00073,train
cate8-00077,train
cate8-00080,train
cate8-00083,train
cate8-00087,train
cate8-00089,train
cate8-00095,train
cate8-00101,train
cate8-00102,train
cate8-00107,train
cate8-00113,train
cate8-00116,train
cate8-00119,train
cate8-00123,train
cate8-00125,train
cate8-00137,train
cate8-00138,train
cate8-00145,train
cate8-00149,train
cate8-00152,train
cate8-00155,train
cate8-00161,train
cate8-00166,train
cate8-00167,train
cate8-00173,train
cate8-00174,train
cate8-00181,train
cate8-00185,train
cate8-00188,train
cate8-00191,train
cate8-00195,train
cate8-00197,train
cate8-00202,train
cate8-00203,train
cate8-00209,train
cate8-00210,train
cate8-00215,train
cate8-00217,train
cate8-00224,train
cate8-00227,train
cate8-00231,train
cate8-00233,train
cate8-00238,train
cate8-00239,train
cate8-00246,train
cate8-00251,train
cate8-00253,train
cate8-00257,train
cate8-00263,train
cate8-00267,train
cate8-00269,train
cate8-00274,train
cate8-00281,train
cate8-00287,train
cate8-00289,train
cate8-00293,train
cate8-00299,train
cate8-00303,train
cate8-00305,train
cate8-00310,train
cate8-00311,train
cate8-00317,train
cate8-00318,train
cate8-00325,train
cate8-00329,train
cate8-00335,train
cate8-00341,train
cate8-00346,train
cate8-00347,train
cate8-00353,train
cate8-00354,train
cate8-00365,train
cate8-00368,train
cate8-00371,train
cate8-00375,train
cate8-00377,train
cate8-00382,train
cate8-00383,train
cate8-00389,train
cate8-00390,train
cate8-00397,train
cate8-00404,train
cate8-00407,train
cate8-00411,train
cate8-00413,train
cate8-00426,train
cate8-00431,train
cate8-00433,train
cate8-00437,train
cate8-00440,train
cate8-00443,train
cate8-00447,train
cate8-00449,train
cate8-00454,train
cate8-00455,train
cate9-00010,train
cate9-00016,train
cate9-00022,train
cate9-00028,train
cate9-00034,train
cate9-00040,train
cate1-00020,test
cate1-00029,test
cate1-00032,test
cate1-00047,test
cate10-00005,test
cate10-00024,test
cate10-00036,test
cate10-00054,test
cate10-00056,test
cate10-00060,test
cate10-00077,test
cate10-00084,test
cate10-00090,test
cate10-00102,test
cate10-00108,test
cate10-00113,test
cate2-00002,test
cate2-00018,test
cate2-00020,test
cate2-00023,test
cate2-00028,test
cate2-00034,test
cate2-00107,test
cate2-00111,test
cate2-00113,test
cate2-00115,test
cate2-00120,test
cate2-00128,test
cate2-00129,test
cate2-00135,test
cate3-00009,test
cate4-00073,test
cate4-00079,test
cate4-00087,test
cate4-00108,test
cate4-00113,test
cate4-00116,test
cate4-00131,test
cate5-00007,test
cate5-00030,test
cate5-00054,test
cate5-00055,test
cate5-00060,test
cate5-00097,test
cate5-00115,test
cate6-00069,test
cate6-00122,test
cate6-00151,test
cate6-00158,test
cate7-00002,test
cate7-00004,test
cate7-00008,test
cate7-00018,test
cate7-00020,test
cate7-00069,test
cate7-00080,test
cate7-00092,test
cate7-00097,test
cate7-00112,test
cate8-00023,test
cate8-00035,test
cate8-00094,test
cate8-00109,test
cate8-00130,test
cate8-00131,test
cate8-00143,test
cate8-00159,test
cate8-00179,test
cate8-00221,test
cate8-00245,test
cate8-00260,test
cate8-00275,test
cate8-00282,test
cate8-00296,test
cate8-00323,test
cate8-00332,test
cate8-00339,test
cate8-00359,test
cate8-00361,test
cate8-00395,test
cate8-00401,test
cate8-00418,test
cate8-00419,test
cate8-00425,test
cate9-00004,test
