noise_std,seed,classifier,top1_acc,quadrant_acc,tooth_type_acc,majority_baseline_acc,mirror_quadrant_error_frac,neighbor_error_frac,n_test
0.0,0,logistic_regression,0.6638135130213076,0.9677654343471135,0.6851211072664359,0.03533054088508469,0.05796316359696641,0.8169014084507042,5491
0.0,0,gradient_boosted_tree,0.6927699872518667,0.9661263886359497,0.7186304862502276,0.03533054088508469,0.07528156490812092,0.8417308832246592,5491
0.0,1,logistic_regression,0.6637963309621865,0.9651815799326096,0.6871958068139273,0.03706476974915762,0.06180400890868597,0.8006681514476615,5342
0.0,1,gradient_boosted_tree,0.6937476600524148,0.9627480344440285,0.7199550730063646,0.03706476974915762,0.08007334963325183,0.8172371638141809,5342
0.0,2,logistic_regression,0.6824798766912142,0.9715704743963007,0.7023462921733173,0.034594964891248504,0.05609492988133765,0.8171521035598706,5839
0.0,2,gradient_boosted_tree,0.7025175543757493,0.9681452303476623,0.725295427299195,0.034594964891248504,0.07541738629821532,0.8399539435808866,5839
0.0,3,logistic_regression,0.6719066937119675,0.9655172413793104,0.6942190669371197,0.03583502366463827,0.056156620298815046,0.8160741885625966,5916
0.0,3,gradient_boosted_tree,0.6989519945909398,0.9619675456389453,0.7265043948613928,0.03583502366463827,0.07411566535654127,0.8169567658618754,5916
0.0,4,logistic_regression,0.6711503714113631,0.9686809877534631,0.6908251355149568,0.03854647661112227,0.05616605616605617,0.7887667887667887,4981
0.0,4,gradient_boosted_tree,0.6864083517365991,0.9676771732583819,0.7094960851234692,0.03854647661112227,0.06914212548015365,0.8277848911651728,4981
0.01,0,logistic_regression,0.5800400655618284,0.9564742305590967,0.6057184483700601,0.03533054088508469,0.05203816131830009,0.7263660017346054,5491
0.01,0,gradient_boosted_tree,0.6093607721726462,0.9528319067565106,0.6397741759242397,0.03533054088508469,0.06806526806526807,0.7911421911421911,5491
0.01,1,logistic_regression,0.577499064020966,0.9546986147510296,0.6044552602021714,0.03706476974915762,0.057155516171909615,0.7328311918475853,5342
0.01,1,gradient_boosted_tree,0.6016473230999626,0.9546986147510296,0.6321602396106327,0.03706476974915762,0.06860902255639098,0.7951127819548872,5342
0.01,2,logistic_regression,0.5918821716047269,0.9553005651652681,0.6177427641719473,0.034594964891248504,0.056651279899286616,0.7284934955937893,5839
0.01,2,gradient_boosted_tree,0.6174002397670834,0.9546155163555403,0.6483986984072615,0.034594964891248504,0.07341092211280215,0.8133393017009848,5839
0.01,3,logistic_regression,0.5796146044624746,0.9563894523326572,0.6027721433400947,0.03583502366463827,0.04382790510655408,0.7478890229191797,5916
0.01,3,gradient_boosted_tree,0.6181541582150102,0.9552062204192021,0.6494252873563219,0.03583502366463827,0.06640106241699867,0.8034528552456839,5916
0.01,4,logistic_regression,0.5769925717727364,0.9548283477213411,0.6032925115438666,0.03854647661112227,0.054579971523493115,0.7204556241101091,4981
0.01,4,gradient_boosted_tree,0.6079100582212407,0.9574382654085525,0.6360168640835173,0.03854647661112227,0.0629800307219662,0.7839221710189452,4981
0.02,0,logistic_regression,0.4611181934073939,0.9276998725186669,0.49499180477144417,0.03533054088508469,0.04731328151402501,0.6045961473470767,5491
0.02,0,gradient_boosted_tree,0.4946275723911856,0.9327991258422874,0.532871972318339,0.03533054088508469,0.0590990990990991,0.7171171171171171,5491
0.02,1,logistic_regression,0.4438412579558218,0.9215649569449644,0.47697491576188694,0.03706476974915762,0.04745876809155167,0.6011443958263211,5342
0.02,1,gradient_boosted_tree,0.48109322351179334,0.9311119430924747,0.5177836016473231,0.03706476974915762,0.05591630591630592,0.7301587301587301,5342
0.02,2,logistic_regression,0.46035280013700974,0.9215619112861791,0.491179996574756,0.034594964891248504,0.0463344969850841,0.5998095842589654,5839
0.02,2,gradient_boosted_tree,0.5004281555060798,0.933036478849118,0.5374207912313752,0.034594964891248504,0.059993143640726776,0.7326019883441892,5839
0.02,3,logistic_regression,0.4579107505070994,0.928498985801217,0.48951994590939824,0.03583502366463827,0.04583723105706267,0.6145930776426567,5916
0.02,3,gradient_boosted_tree,0.5084516565246788,0.9379648411088574,0.5439486139283299,0.03583502366463827,0.053988995873452544,0.7365887207702888,5916
0.02,4,logistic_regression,0.4487050793013451,0.9267215418590644,0.48303553503312585,0.03854647661112227,0.04989075018208303,0.5975965040058266,4981
0.02,4,gradient_boosted_tree,0.48945994780164626,0.9303352740413572,0.5268018470186709,0.03854647661112227,0.056232795910342116,0.7058592213920566,4981
0.04,0,logistic_regression,0.28810781278455655,0.8339100346020761,0.33655071935895103,0.03533054088508469,0.039652084932207725,0.4174980813507291,5491
0.04,0,gradient_boosted_tree,0.3411036241121836,0.8779821526133673,0.38900018211619014,0.03533054088508469,0.05113322277501382,0.5572139303482587,5491
0.04,1,logistic_regression,0.28977910894795955,0.830026207412954,0.33770123549232495,0.03706476974915762,0.040063257775434895,0.41697416974169743,5342
0.04,1,gradient_boosted_tree,0.34294271808311494,0.879071508798203,0.39105204043429426,0.03706476974915762,0.04814814814814815,0.5598290598290598,5342
0.04,2,logistic_regression,0.2894331221099503,0.8210309984586401,0.3382428498030485,0.034594964891248504,0.03928657507833213,0.41576283441793205,5839
0.04,2,gradient_boosted_tree,0.3562253810584004,0.8746360678198322,0.4022949135125878,0.034594964891248504,0.04416068103218941,0.5679702048417132,5839
0.04,3,logistic_regression,0.2912440838404327,0.8456727518593644,0.33975659229208927,0.03583502366463827,0.03887431433341283,0.4373956594323873,5916
0.04,3,gradient_boosted_tree,0.35699797160243407,0.8874239350912779,0.4039891818796484,0.03583502366463827,0.04652996845425868,0.5843848580441641,5916
0.04,4,logistic_regression,0.2965268018470187,0.8383858662919093,0.3457137121060028,0.03854647661112227,0.04138127853881279,0.4058219178082192,4981
0.04,4,gradient_boosted_tree,0.34491066050993774,0.8725155591246737,0.3928929933748243,0.03854647661112227,0.04596996628869139,0.5614465216058842,4981
0.08,0,logistic_regression,0.16499726825714806,0.6741941358586778,0.23565835002731741,0.03533054088508469,0.032933478735005454,0.2538713195201745,5491
0.08,0,gradient_boosted_tree,0.19814241486068113,0.7424877071571663,0.2682571480604626,0.03533054088508469,0.04315239609357256,0.32432432432432434,5491
0.08,1,logistic_regression,0.16604268064395358,0.6681018345189068,0.2306252339947585,0.03706476974915762,0.030751964085297418,0.2496071829405163,5342
0.08,1,gradient_boosted_tree,0.20479221265443653,0.7609509546986147,0.2699363534256833,0.03706476974915762,0.04025423728813559,0.3465160075329567,5342
0.08,2,logistic_regression,0.15499229320089056,0.6605583147799281,0.22024319232745332,0.034594964891248504,0.030806647750304013,0.2535468179975679,5839
0.08,2,gradient_boosted_tree,0.21647542387395102,0.7571501969515329,0.28001370097619455,0.034594964891248504,0.03912568306010929,0.34491803278688526,5839
0.08,3,logistic_regression,0.16328600405679514,0.6867816091954023,0.23089925625422583,0.03583502366463827,0.03232323232323232,0.2739393939393939,5916
0.08,3,gradient_boosted_tree,0.2145030425963489,0.7581135902636917,0.2770453008789723,0.03583502366463827,0.03572197116419195,0.34624488917581236,5916
0.08,4,logistic_regression,0.16281871110218832,0.6785785986749648,0.22706283878739209,0.03854647661112227,0.02973621103117506,0.2517985611510791,4981
0.08,4,gradient_boosted_tree,0.19955832162216422,0.752258582613933,0.26520778960048186,0.03854647661112227,0.03737145723601706,0.33985452721344367,4981
0.16,0,logistic_regression,0.08869058459297031,0.49189582953924604,0.17082498634128573,0.03533054088508469,0.029176658673061552,0.14788169464428458,5491
0.16,0,gradient_boosted_tree,0.1016208340921508,0.5419777818248043,0.18193407393917319,0.03533054088508469,0.03162375836205149,0.15953780660855463,5491
0.16,1,logistic_regression,0.09565705728191688,0.5035567203294646,0.17296892549606888,0.03706476974915762,0.02608155661353757,0.1469675015524736,5342
0.16,1,gradient_boosted_tree,0.10819917633845001,0.5754399101460127,0.18682141520029952,0.03706476974915762,0.03232577665827036,0.1801007556675063,5342
0.16,2,logistic_regression,0.09025518068162357,0.4863846549066621,0.16526802534680596,0.034594964891248504,0.02579066265060241,0.14533132530120482,5839
0.16,2,gradient_boosted_tree,0.11097790717588628,0.5679054632642576,0.18564822743620482,0.034594964891248504,0.028896166441918704,0.1893662107493739,5839
0.16,3,logistic_regression,0.08941852603110209,0.505578093306288,0.16480730223123732,0.03583502366463827,0.023575273807313904,0.15778726563950252,5916
0.16,3,gradient_boosted_tree,0.10835023664638269,0.5736984448951995,0.18120351588911426,0.03583502366463827,0.03109004739336493,0.17232227488151658,5916
