classifier,top1_acc,quadrant_acc,tooth_type_acc,majority_baseline_acc,mirror_quadrant_error_frac,neighbor_error_frac,n_test,seed
logistic_regression,0.6638135130213076,0.9677654343471135,0.6851211072664359,0.03533054088508469,0.05796316359696641,0.8169014084507042,5491,0
logistic_regression,0.6637963309621865,0.9651815799326096,0.6871958068139273,0.03706476974915762,0.06180400890868597,0.8006681514476615,5342,1
logistic_regression,0.6824798766912142,0.9715704743963007,0.7023462921733173,0.034594964891248504,0.05609492988133765,0.8171521035598706,5839,2
logistic_regression,0.6719066937119675,0.9655172413793104,0.6942190669371197,0.03583502366463827,0.056156620298815046,0.8160741885625966,5916,3
logistic_regression,0.6711503714113631,0.9686809877534631,0.6908251355149568,0.03854647661112227,0.05616605616605617,0.7887667887667887,4981,4
gradient_boosted_tree,0.6927699872518667,0.9661263886359497,0.7186304862502276,0.03533054088508469,0.07528156490812092,0.8417308832246592,5491,0
gradient_boosted_tree,0.6937476600524148,0.9627480344440285,0.7199550730063646,0.03706476974915762,0.08007334963325183,0.8172371638141809,5342,1
gradient_boosted_tree,0.7025175543757493,0.9681452303476623,0.725295427299195,0.034594964891248504,0.07541738629821532,0.8399539435808866,5839,2
gradient_boosted_tree,0.6989519945909398,0.9619675456389453,0.7265043948613928,0.03583502366463827,0.07411566535654127,0.8169567658618754,5916,3
gradient_boosted_tree,0.6864083517365991,0.9676771732583819,0.7094960851234692,0.03854647661112227,0.06914212548015365,0.8277848911651728,4981,4
